region,region_normalized
Ontario,ON
Quebec,QC
Columbia,BC
Ont,ON
Alberta,AB
Manitoba,MB
Scotia,NS
Que,QC
Brunswick,NB
Saskatchewan,SK
BC,BC
Labrador,NL
Alta,AB
Territories,
NB,NB

Man,MB



Island,PE
